
Date:3/2/2010
Time:16:25:15
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-3.084187958e-005,0.0000000000)	(0.9997581411,0.0000000000)
(-0.0002775312595,0.0000000000)	(0.9990327986,0.0000000000)
(-0.0007706665667,0.0000000000)	(0.9978246740,0.0000000000)
(-0.001509761136,0.0000000000)	(0.9961349362,0.0000000000)
(-0.002494085571,0.0000000000)	(0.9939652199,0.0000000000)
(-0.003722668461,0.0000000000)	(0.9913176241,0.0000000000)
(-0.005194297345,0.0000000000)	(0.9881947103,0.0000000000)
(-0.006907519901,0.0000000000)	(0.9845994996,0.0000000000)
(-0.008860645386,0.0000000000)	(0.9805354702,0.0000000000)
(-0.01105174630,0.0000000000)	(0.9760065538,0.0000000000)
(-0.01347866029,0.0000000000)	(0.9710171317,0.0000000000)
(-0.01613899229,0.0000000000)	(0.9655720310,0.0000000000)
(-0.01903011687,0.0000000000)	(0.9596765195,0.0000000000)
(-0.02214918084,0.0000000000)	(0.9533363006,0.0000000000)
(-0.02549310606,0.0000000000)	(0.9465575081,0.0000000000)
(-0.02905859248,0.0000000000)	(0.9393467000,0.0000000000)
(-0.03284212139,0.0000000000)	(0.9317108524,0.0000000000)
(-0.03683995891,0.0000000000)	(0.9236573525,0.0000000000)
(-0.04104815966,0.0000000000)	(0.9151939914,0.0000000000)
(-0.04546257064,0.0000000000)	(0.9063289569,0.0000000000)
(-0.05007883538,0.0000000000)	(0.8970708254,0.0000000000)
(-0.05489239817,0.0000000000)	(0.8874285536,0.0000000000)
(-0.05989850860,0.0000000000)	(0.8774114696,0.0000000000)
(-0.06509222626,0.0000000000)	(0.8670292644,0.0000000000)
(-0.07046842556,0.0000000000)	(0.8562919821,0.0000000000)
(-0.07602180085,0.0000000000)	(0.8452100103,0.0000000000)
(-0.08174687162,0.0000000000)	(0.8337940701,0.0000000000)
(-0.08763798792,0.0000000000)	(0.8220552057,0.0000000000)
(-0.09368933592,0.0000000000)	(0.8100047737,0.0000000000)
